Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
12:58:21.0,4.299,,3.902
12:58:22.0,0.25,3.178,0.251
12:58:23.0,0.249,0.248,0.75
12:58:24.0,0.0,0.251,0.251
12:58:25.0,0.249,10.804,0.249
12:58:26.0,0.0,0.997,0.751
12:58:27.0,0.25,0.0,0.5
12:58:28.0,0.25,0.25,0.0
12:58:29.0,0.25,0.496,0.0
12:58:30.0,0.0,0.0,1.005
12:58:31.0,56.783,3.266,47.88
12:58:32.0,18.546,40.852,0.251
12:58:33.0,0.753,1.745,0.997
12:58:34.0,0.75,0.0,1.002
12:58:35.0,1.5,0.501,0.751
12:58:36.0,2.25,1.25,0.75
12:58:37.0,0.25,2.512,0.75
12:58:38.0,0.0,0.0,1.503
12:58:39.0,0.5,0.0,0.997
12:58:40.0,0.25,0.997,16.08
12:58:41.0,14.898,0.0,21.608
12:58:42.0,41.191,49.874,44.5
12:58:43.0,0.502,12.718,2.512
12:58:44.0,0.0,0.0,0.5
12:58:45.0,0.0,0.498,3.258
12:58:46.0,0.498,1.005,2.75
12:58:47.0,1.002,2.238,0.746
12:58:48.0,2.261,2.763,0.25
12:58:49.0,0.0,0.501,0.251
12:58:50.0,0.25,0.5,1.25
12:58:51.0,0.25,0.0,4.01
12:58:52.0,0.498,0.501,3.508
12:58:53.0,68.101,26.0,70.927
12:58:54.0,0.497,47.979,0.25
12:58:55.0,0.0,0.498,0.5
12:58:56.0,0.0,0.0,0.501
12:58:57.0,0.249,0.501,1.002
12:58:58.0,1.246,1.25,0.25
12:58:59.0,0.0,0.498,1.745
12:59:00.0,0.0,0.25,0.75
12:59:01.0,1.496,0.0,1.75
12:59:02.0,0.25,0.251,1.503
12:59:03.0,0.25,0.25,0.25
12:59:04.0,0.0,0.25,0.0
12:59:05.0,48.241,0.25,57.75
12:59:06.0,30.402,71.212,12.189
12:59:07.0,0.498,0.25,0.251
12:59:08.0,0.5,0.0,0.249
12:59:09.0,0.501,0.249,0.498
12:59:10.0,0.25,0.25,0.751
12:59:11.0,1.005,0.997,0.0
12:59:12.0,0.0,1.25,0.502
12:59:13.0,0.501,0.25,1.0
12:59:14.0,0.0,1.0,0.5
12:59:15.0,0.249,1.002,0.25
12:59:16.0,0.0,0.75,0.5
12:59:17.0,0.75,0.501,0.249
12:59:18.0,8.816,0.75,15.5
12:59:19.0,67.669,42.317,62.051
12:59:20.0,0.0,36.907,0.0
12:59:21.0,0.25,0.25,0.0
12:59:22.0,0.0,0.25,0.498
12:59:23.0,1.005,0.502,0.0
12:59:24.0,0.0,0.25,1.253
12:59:25.0,0.498,0.249,0.25
12:59:26.0,0.249,0.0,1.002
12:59:27.0,0.25,0.25,0.25
12:59:28.0,0.251,0.5,0.5
12:59:29.0,0.0,0.0,0.0
12:59:30.0,0.25,0.249,0.25
12:59:31.0,0.251,0.746,0.0
12:59:32.0,1.754,0.753,0.25
12:59:33.0,53.634,7.424,61.964
12:59:34.0,21.25,78.048,14.214
12:59:35.0,0.25,1.745,0.0
12:59:36.0,0.0,0.751,0.0
12:59:37.0,0.498,0.501,0.502
12:59:38.0,0.497,0.249,0.75
12:59:39.0,0.25,0.25,0.0
12:59:40.0,0.0,0.25,0.25
12:59:41.0,0.0,0.0,0.0
12:59:42.0,1.25,0.0,0.25
12:59:43.0,0.751,1.002,0.249
12:59:44.0,0.0,0.25,0.0
12:59:45.0,0.0,0.25,0.25
12:59:46.0,0.249,0.0,0.0
12:59:47.0,0.25,0.25,0.251
12:59:48.0,2.518,0.5,9.045
12:59:49.0,75.062,37.437,69.849
12:59:50.0,0.501,50.502,0.0
12:59:51.0,0.744,0.0,0.497
12:59:52.0,0.0,0.25,0.251
12:59:53.0,0.498,0.0,0.0
12:59:54.0,0.0,0.251,0.25
12:59:55.0,1.0,0.25,0.25
12:59:56.0,0.0,0.25,0.25
12:59:57.0,0.751,0.251,0.5
12:59:58.0,0.25,0.746,0.5
12:59:59.0,0.0,0.0,0.5
13:00:00.0,0.25,0.25,0.5
13:00:01.0,0.25,0.0,1.0
13:00:02.0,0.0,0.997,0.0
13:00:03.0,0.25,0.251,0.0
13:00:04.0,0.0,0.25,0.25
13:00:05.0,33.333,0.25,39.75
13:00:06.0,57.682,68.25,56.499
13:00:07.0,0.248,39.798,0.753
13:00:08.0,0.0,0.0,0.5
13:00:09.0,0.25,0.25,0.751
13:00:10.0,0.0,0.0,0.0
13:00:11.0,0.25,0.25,0.25
13:00:12.0,0.0,0.501,0.251
13:00:13.0,0.502,1.25,0.0
13:00:14.0,1.246,0.25,0.25
13:00:15.0,0.0,0.0,0.0
13:00:16.0,0.0,0.25,0.25
13:00:17.0,0.25,0.0,0.5
13:00:18.0,0.25,0.0,0.0
13:00:19.0,0.25,0.75,0.0
13:00:20.0,0.25,0.0,0.5
13:00:21.0,0.0,0.0,0.501
13:00:22.0,0.0,0.251,0.251
13:00:23.0,48.872,0.75,56.39
13:00:24.0,67.336,82.784,59.0
13:00:25.0,3.007,24.189,0.25
13:00:26.0,0.0,0.0,0.0
13:00:27.0,0.249,0.5,0.249
13:00:28.0,0.251,0.501,0.0
13:00:29.0,0.25,0.0,0.0
13:00:30.0,0.25,0.248,0.0
13:00:31.0,0.498,0.0,3.0
13:00:32.0,0.25,0.25,0.25
13:00:33.0,0.753,0.501,0.248
13:00:34.0,0.5,0.249,0.753
13:00:35.0,0.501,0.25,0.25
13:00:36.0,0.0,0.25,0.0
13:00:37.0,0.25,0.502,0.0
13:00:38.0,0.0,0.249,0.498
13:00:39.0,0.748,0.0,0.25
13:00:40.0,1.253,0.25,0.25
13:00:41.0,0.249,0.25,0.25
13:00:42.0,44.75,0.25,48.614
13:00:43.0,79.0,77.944,76.059
13:00:44.0,24.25,47.355,0.0
13:00:45.0,0.0,0.498,0.25
13:00:46.0,0.25,0.0,0.5
13:00:47.0,0.0,0.498,0.251
13:00:48.0,0.25,0.0,0.5
13:00:49.0,0.0,0.0,0.249
13:00:50.0,0.25,0.25,0.25
13:00:51.0,0.25,0.25,0.25
13:00:52.0,0.0,1.0,0.251
13:00:53.0,0.992,0.751,0.25
13:00:54.0,0.501,0.0,0.0
13:00:55.0,0.25,0.75,0.25
13:00:56.0,0.0,0.0,0.25
13:00:57.0,0.249,0.25,1.002
13:00:58.0,0.503,0.25,0.25
13:00:59.0,0.0,0.249,0.25
13:01:00.0,0.25,0.0,0.501
13:01:01.0,6.516,0.25,0.249
13:01:02.0,18.796,0.5,26.25
13:01:03.0,85.427,52.618,84.13
13:01:04.0,45.5,87.939,33.753
13:01:05.0,0.0,7.286,0.248
13:01:06.0,0.0,0.25,0.25
13:01:07.0,0.25,0.501,0.251
13:01:08.0,0.25,0.25,0.25
13:01:09.0,0.0,0.5,0.25
13:01:10.0,0.25,0.0,0.0
13:01:11.0,0.0,0.249,0.25
13:01:12.0,0.249,0.251,0.25
13:01:13.0,0.501,0.25,0.249
13:01:14.0,0.0,0.25,0.25
13:01:15.0,0.0,0.497,0.0
13:01:16.0,0.25,0.0,0.25
13:01:17.0,0.25,0.498,0.25
13:01:18.0,0.0,0.25,0.249
13:01:19.0,0.0,0.249,0.25
13:01:20.0,0.0,0.0,0.25
13:01:21.0,0.248,0.0,0.502
13:01:22.0,0.498,0.25,0.25
13:01:23.0,0.0,0.25,0.0
13:01:24.0,67.75,16.209,70.351
13:01:25.0,82.706,86.716,79.949
13:01:26.0,43.828,76.441,18.453
13:01:27.0,0.0,28.07,0.0
13:01:28.0,0.496,0.0,0.0
13:01:29.0,0.0,0.0,0.497
13:01:30.0,0.25,0.498,0.0
13:01:31.0,1.25,0.25,0.501
13:01:32.0,0.0,0.25,0.0
13:01:33.0,0.251,0.0,0.0
13:01:34.0,0.0,0.0,0.25
13:01:35.0,0.249,0.501,0.5
13:01:36.0,0.0,0.25,0.25
13:01:37.0,0.5,0.249,0.25
13:01:38.0,0.503,0.0,0.0
13:01:39.0,0.0,0.751,0.25
13:01:40.0,0.25,1.25,0.25
13:01:41.0,0.0,0.748,0.249
13:01:42.0,0.25,0.75,0.502
13:01:43.0,0.25,0.501,0.25
13:01:44.0,0.0,0.25,0.25
13:01:45.0,0.249,0.25,0.0
13:01:46.0,4.01,0.5,10.473
13:01:47.0,85.964,38.442,87.344
13:01:48.0,85.678,86.466,87.309
13:01:49.0,36.159,77.25,12.311
13:01:50.0,0.501,1.503,0.0
13:01:51.0,0.25,0.0,0.25
13:01:52.0,0.25,0.501,0.25
13:01:53.0,0.5,0.25,0.0
13:01:54.0,0.0,0.0,0.0
13:01:55.0,0.25,0.0,0.25
13:01:56.0,0.249,0.25,0.0
13:01:57.0,0.0,0.25,0.25
13:01:58.0,0.501,0.0,0.25
13:01:59.0,0.249,0.25,0.25
13:02:00.0,0.0,0.0,0.0
13:02:01.0,0.0,0.25,0.25
13:02:02.0,0.5,1.253,0.25
13:02:03.0,0.501,0.248,0.25
13:02:04.0,0.0,0.5,0.5
13:02:05.0,0.498,0.0,0.251
13:02:06.0,0.25,0.25,0.249
13:02:07.0,0.25,0.251,0.251
13:02:08.0,0.25,0.25,0.249
13:02:09.0,0.0,0.25,0.0
13:02:10.0,0.249,0.501,14.123
13:02:11.0,85.894,34.75,85.786
13:02:12.0,84.886,82.706,79.797
13:02:13.0,53.768,86.848,43.181
13:02:14.0,0.0,34.837,0.0
13:02:15.0,4.26,0.497,0.0
13:02:16.0,0.249,0.0,0.5
13:02:17.0,0.0,0.5,0.501
13:02:18.0,0.251,0.25,0.748
13:02:19.0,0.0,0.25,0.0
13:02:20.0,0.25,0.25,0.0
13:02:21.0,0.25,0.25,0.0
13:02:22.0,0.25,0.25,0.25
13:02:23.0,1.007,4.761,0.0
13:02:24.0,0.25,1.754,0.0
13:02:25.0,0.751,0.0,0.249
13:02:26.0,0.0,0.25,0.5
13:02:27.0,0.498,0.249,0.25
13:02:28.0,0.5,0.249,0.0
13:02:29.0,0.0,0.0,0.751
13:02:30.0,0.748,0.25,0.249
13:02:31.0,0.25,0.25,0.251
13:02:32.0,0.501,0.501,0.0
13:02:33.0,0.501,0.249,0.0
13:02:34.0,0.249,0.501,0.25
13:02:35.0,0.25,0.25,0.0
13:02:36.0,50.0,2.238,63.819
13:02:37.0,81.047,85.929,84.13
13:02:38.0,82.25,82.784,85.536
13:02:39.0,61.055,78.0,11.027
13:02:40.0,20.802,28.391,0.0
13:02:41.0,0.5,0.5,0.501
13:02:42.0,1.005,0.502,0.0
13:02:43.0,0.25,0.248,0.0
13:02:44.0,6.733,0.251,0.25
13:02:45.0,0.25,0.0,0.249
13:02:46.0,0.0,0.25,0.503
13:02:47.0,0.75,0.503,0.25
13:02:48.0,0.751,0.0,0.25
13:02:49.0,0.0,0.0,0.0
13:02:50.0,0.25,0.751,0.249
13:02:51.0,0.497,6.015,0.251
13:02:52.0,0.25,0.25,0.0
13:02:53.0,0.251,0.25,0.25
13:02:54.0,0.0,0.25,0.0
13:02:55.0,0.0,0.0,0.501
13:02:56.0,0.0,0.25,0.0
13:02:57.0,0.0,0.25,0.25
13:02:58.0,0.5,0.0,0.0
13:02:59.0,0.0,0.0,0.25
13:03:00.0,0.0,0.25,3.0
13:03:01.0,20.551,0.0,0.251
13:03:02.0,0.0,0.249,7.459
13:03:03.0,69.269,22.055,82.5
13:03:04.0,83.458,87.5,83.585
13:03:05.0,82.278,85.138,80.357
13:03:06.0,51.767,79.0,7.231
13:03:07.0,0.0,16.0,0.0
13:03:08.0,0.501,0.0,0.0
13:03:09.0,0.0,0.498,0.748
13:03:10.0,0.497,0.0,0.0
13:03:11.0,0.0,1.745,0.0
13:03:12.0,0.0,13.819,0.5
13:03:13.0,0.5,0.0,0.0
13:03:14.0,0.0,0.495,0.0
13:03:15.0,0.0,0.5,0.25
13:03:16.0,0.0,0.501,0.501
13:03:17.0,0.25,0.501,0.25
13:03:18.0,0.25,0.5,0.0
13:03:19.0,0.5,0.0,0.498
13:03:20.0,0.25,0.249,0.0
13:03:21.0,0.25,0.0,0.501
13:03:22.0,0.249,0.501,0.0
13:03:23.0,1.253,0.0,0.0
13:03:24.0,0.0,1.256,0.0
13:03:25.0,2.005,1.25,0.0
13:03:26.0,0.0,1.0,0.501
13:03:27.0,0.0,0.0,0.0
13:03:28.0,0.75,0.25,0.249
13:03:29.0,0.0,0.0,0.0
13:03:30.0,0.251,0.25,10.476
13:03:31.0,69.077,20.398,77.862
13:03:32.0,82.706,82.367,79.396
13:03:33.0,78.553,78.894,62.436
13:03:34.0,63.0,80.099,30.226
13:03:35.0,0.0,35.427,0.0
13:03:36.0,0.25,0.25,0.751
13:03:37.0,0.0,0.5,0.25
13:03:38.0,0.0,0.0,0.0
13:03:39.0,0.25,0.5,9.975
13:03:40.0,0.0,0.0,7.788
13:03:41.0,1.199,2.255,0.25
13:03:42.0,0.261,0.25,0.0
13:03:43.0,0.251,0.497,0.0
13:03:44.0,0.249,0.0,0.75
13:03:45.0,0.249,0.25,0.0
13:03:46.0,0.751,0.0,0.251
13:03:47.0,0.0,0.251,0.25
13:03:48.0,1.005,0.0,0.0
13:03:49.0,0.0,0.0,0.498
13:03:50.0,0.0,0.25,0.0
13:03:51.0,0.25,0.25,0.251
13:03:52.0,0.497,0.501,0.25
13:03:53.0,0.251,0.0,0.0
13:03:54.0,0.0,0.0,0.5
13:03:55.0,0.0,0.25,0.0
13:03:56.0,0.25,0.5,0.498
13:03:57.0,0.0,0.75,0.25
13:03:58.0,0.251,0.0,0.25
13:03:59.0,0.0,0.0,0.25
13:04:00.0,36.09,0.25,61.809
13:04:01.0,83.0,69.077,78.426
13:04:02.0,75.189,82.133,83.627
13:04:03.0,79.899,81.06,80.701
13:04:04.0,20.802,78.25,0.249
13:04:05.0,0.0,18.75,0.0
13:04:06.0,0.25,0.25,0.25
13:04:07.0,0.0,0.75,0.5
13:04:08.0,0.25,0.0,0.249
13:04:09.0,0.0,0.0,0.0
13:04:10.0,0.25,0.25,0.25
13:04:11.0,0.0,0.25,0.748
13:04:12.0,0.25,0.251,0.0
13:04:13.0,0.25,0.25,0.25
13:04:14.0,0.0,0.249,0.25
13:04:15.0,0.0,0.248,0.25
13:04:16.0,0.25,0.25,0.251
13:04:17.0,0.0,0.25,0.25
13:04:18.0,0.501,0.0,0.25
13:04:19.0,0.0,0.25,0.25
13:04:20.0,0.0,0.0,0.0
13:04:21.0,0.0,0.25,0.501
13:04:22.0,0.0,0.498,0.0
13:04:23.0,0.497,0.249,0.25
13:04:24.0,0.25,0.25,0.25
13:04:25.0,0.0,0.0,0.995
13:04:26.0,0.0,0.25,0.0
13:04:27.0,0.0,0.251,0.25
