Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
12:58:21.0,0.0,,0.0
12:58:22.0,0.0,0.0,0.0
12:58:23.0,0.0,0.0,0.0
12:58:24.0,0.0,0.0,0.0
12:58:25.0,0.0,0.0,0.0
12:58:26.0,0.0,0.0,0.0
12:58:27.0,0.0,0.0,0.0
12:58:28.0,0.0,0.0,0.0
12:58:29.0,0.0,0.0,0.0
12:58:30.0,0.0,0.0,0.0
12:58:31.0,33.578,0.035,32.078
12:58:32.0,0.0,20.003,0.0
12:58:33.0,0.0,0.0,0.0
12:58:34.0,0.0,0.0,0.0
12:58:35.0,0.0,0.0,0.0
12:58:36.0,0.0,0.0,0.0
12:58:37.0,0.0,0.0,0.0
12:58:38.0,0.0,0.0,0.0
12:58:39.0,0.0,0.0,0.0
12:58:40.0,0.0,0.0,0.0
12:58:41.0,15.187,0.0,32.82
12:58:42.0,29.917,49.144,29.414
12:58:43.0,0.0,0.0,0.0
12:58:44.0,0.0,0.0,0.0
12:58:45.0,0.0,0.0,0.0
12:58:46.0,0.0,0.0,0.0
12:58:47.0,0.0,0.0,0.0
12:58:48.0,0.0,0.0,0.0
12:58:49.0,0.0,0.0,0.0
12:58:50.0,0.0,0.0,0.0
12:58:51.0,0.0,0.0,0.0
12:58:52.0,0.0,0.0,0.0
12:58:53.0,82.468,33.582,104.015
12:58:54.0,0.0,48.101,0.0
12:58:55.0,0.0,0.0,0.0
12:58:56.0,0.0,0.0,0.0
12:58:57.0,0.0,0.0,0.0
12:58:58.0,0.0,0.0,0.0
12:58:59.0,0.0,0.0,0.0
12:59:00.0,0.0,0.0,0.0
12:59:01.0,0.226,0.0,0.0
12:59:02.0,0.0,0.0,0.0
12:59:03.0,0.0,0.0,0.0
12:59:04.0,0.0,0.0,0.0
12:59:05.0,115.011,0.0,94.265
12:59:06.0,23.746,126.574,3.351
12:59:07.0,0.0,0.0,0.0
12:59:08.0,0.0,0.0,0.0
12:59:09.0,0.0,0.0,0.0
12:59:10.0,0.0,0.0,0.0
12:59:11.0,0.0,0.0,0.0
12:59:12.0,0.0,0.0,0.0
12:59:13.0,0.0,0.0,0.0
12:59:14.0,0.0,0.0,0.0
12:59:15.0,0.0,0.0,0.0
12:59:16.0,0.0,0.0,0.0
12:59:17.0,0.0,0.0,0.0
12:59:18.0,25.449,0.0,28.835
12:59:19.0,149.371,85.843,143.25
12:59:20.0,0.0,82.351,0.0
12:59:21.0,0.0,0.0,0.0
12:59:22.0,0.0,0.0,0.0
12:59:23.0,0.0,0.0,0.0
12:59:24.0,0.0,0.0,0.0
12:59:25.0,0.0,0.0,0.0
12:59:26.0,0.0,0.0,0.0
12:59:27.0,0.0,0.0,0.0
12:59:28.0,0.0,0.0,0.0
12:59:29.0,0.0,0.0,0.0
12:59:30.0,0.0,0.0,0.0
12:59:31.0,0.0,0.0,0.0
12:59:32.0,0.0,0.0,0.0
12:59:33.0,181.351,20.843,172.546
12:59:34.0,32.66,138.191,23.363
12:59:35.0,0.0,0.0,0.0
12:59:36.0,0.0,0.0,0.0
12:59:37.0,0.0,0.0,0.0
12:59:38.0,0.0,0.0,0.0
12:59:39.0,0.0,0.0,0.0
12:59:40.0,0.0,0.0,0.0
12:59:41.0,0.0,0.0,0.0
12:59:42.0,0.0,0.0,0.0
12:59:43.0,0.0,0.0,0.0
12:59:44.0,0.0,0.0,0.0
12:59:45.0,0.0,0.0,0.0
12:59:46.0,0.0,0.0,0.0
12:59:47.0,0.0,0.0,0.0
12:59:48.0,6.582,0.0,19.769
12:59:49.0,237.875,110.57,156.324
12:59:50.0,0.0,110.085,0.0
12:59:51.0,0.0,0.0,0.0
12:59:52.0,0.0,0.0,0.0
12:59:53.0,0.0,0.0,0.0
12:59:54.0,0.0,0.0,0.0
12:59:55.0,0.0,0.0,0.0
12:59:56.0,0.0,0.0,0.0
12:59:57.0,0.0,0.0,0.0
12:59:58.0,0.0,0.0,0.0
12:59:59.0,0.0,0.0,0.0
13:00:00.0,0.0,0.0,0.0
13:00:01.0,0.0,0.0,0.0
13:00:02.0,0.0,0.0,0.007
13:00:03.0,0.0,0.0,0.0
13:00:04.0,0.0,0.0,0.0
13:00:05.0,135.41,0.0,97.55
13:00:06.0,161.66,216.324,118.816
13:00:07.0,0.0,77.589,0.0
13:00:08.0,2.246,0.0,0.0
13:00:09.0,0.0,0.0,0.0
13:00:10.0,0.0,0.0,0.0
13:00:11.0,0.0,0.0,0.0
13:00:12.0,0.0,0.0,0.0
13:00:13.0,0.0,0.0,0.0
13:00:14.0,0.0,0.0,0.0
13:00:15.0,0.0,0.0,0.0
13:00:16.0,0.0,0.0,0.0
13:00:17.0,0.0,0.0,0.0
13:00:18.0,0.0,0.0,0.0
13:00:19.0,0.0,0.0,0.0
13:00:20.0,0.0,0.0,0.0
13:00:21.0,0.0,0.0,0.0
13:00:22.0,0.0,0.0,0.0
13:00:23.0,176.449,0.0,185.601
13:00:24.0,196.214,271.25,193.96
13:00:25.0,0.0,61.109,0.0
13:00:26.0,0.0,0.0,0.0
13:00:27.0,0.0,0.0,0.0
13:00:28.0,0.0,0.0,0.0
13:00:29.0,0.0,0.0,0.0
13:00:30.0,0.0,0.0,0.0
13:00:31.0,0.0,0.0,0.0
13:00:32.0,0.0,0.0,0.0
13:00:33.0,0.0,0.0,0.0
13:00:34.0,0.0,0.0,0.0
13:00:35.0,0.0,0.0,0.0
13:00:36.0,0.0,0.0,0.0
13:00:37.0,0.0,0.0,0.0
13:00:38.0,0.0,0.0,0.0
13:00:39.0,0.0,0.0,0.0
13:00:40.0,0.0,0.0,0.0
13:00:41.0,0.0,0.0,0.0
13:00:42.0,181.48,0.0,139.886
13:00:43.0,215.035,297.476,283.574
13:00:44.0,0.0,154.125,0.0
13:00:45.0,0.0,0.0,0.0
13:00:46.0,0.0,0.0,0.0
13:00:47.0,0.0,0.0,0.0
13:00:48.0,0.0,0.0,0.0
13:00:49.0,0.0,0.0,0.0
13:00:50.0,0.0,0.0,0.0
13:00:51.0,0.0,0.0,0.0
13:00:52.0,0.0,0.0,0.0
13:00:53.0,0.0,0.0,0.0
13:00:54.0,0.0,0.0,0.0
13:00:55.0,0.0,0.0,0.0
13:00:56.0,0.0,0.0,0.0
13:00:57.0,0.0,0.0,0.0
13:00:58.0,0.0,0.0,0.0
13:00:59.0,0.0,0.0,0.0
13:01:00.0,0.0,0.0,0.0
13:01:01.0,0.0,0.0,0.0
13:01:02.0,61.097,0.0,67.363
