Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
11:18:33.0,0.0,,0.0
11:18:34.0,0.0,0.0,0.0
11:18:35.0,0.0,0.0,0.0
11:18:36.0,0.0,0.0,0.0
11:18:37.0,0.0,0.0,0.011
11:18:38.0,0.0,0.796,0.343
11:18:39.0,0.015,0.0,0.0
11:18:40.0,0.16,0.0,0.0
11:18:41.0,0.0,0.117,0.0
11:18:42.0,0.035,0.0,0.0
11:18:43.0,0.0,0.0,7.472
11:18:44.0,0.0,0.0,0.0
11:18:45.0,0.042,0.0,4.425
11:18:46.0,11.324,11.484,0.0
11:18:47.0,0.0,0.0,0.027
11:18:48.0,0.0,0.0,0.0
11:18:49.0,0.0,0.0,0.0
11:18:50.0,0.031,0.0,0.0
11:18:51.0,0.042,0.027,0.0
11:18:52.0,0.015,0.0,0.015
11:18:53.0,0.0,0.0,0.0
11:18:54.0,0.0,0.0,0.0
11:18:55.0,0.14,0.0,20.496
11:18:56.0,20.937,20.703,0.0
11:18:57.0,0.0,0.0,0.019
11:18:58.0,0.0,0.0,0.0
11:18:59.0,0.0,0.0,0.0
11:19:00.0,0.121,0.0,0.0
11:19:01.0,0.019,0.015,0.0
11:19:02.0,0.015,0.0,0.015
11:19:03.0,0.0,0.0,0.0
11:19:04.0,0.0,0.0,0.0
11:19:05.0,0.0,0.0,24.242
11:19:06.0,24.136,24.41,0.0
11:19:07.0,0.0,0.0,0.015
11:19:08.0,0.0,0.117,7.941
11:19:09.0,8.015,7.71,0.0
11:19:10.0,0.0,0.0,0.0
11:19:11.0,0.0,0.015,0.0
11:19:12.0,0.019,0.0,0.0
11:19:13.0,0.0,0.039,0.027
11:19:14.0,0.0,0.0,0.0
11:19:15.0,0.0,0.0,0.0
11:19:16.0,0.0,0.031,0.0
11:19:17.0,0.015,0.0,0.019
11:19:18.0,0.0,0.0,25.554
11:19:19.0,25.425,25.425,0.0
11:19:20.0,0.05,0.0,0.0
11:19:21.0,6.589,0.023,6.531
11:19:22.0,0.015,6.847,0.0
11:19:23.0,0.0,0.0,0.0
11:19:24.0,0.0,0.0,0.0
11:19:25.0,0.0,0.0,0.0
11:19:26.0,0.0,0.0,0.015
11:19:27.0,0.015,0.015,0.015
11:19:28.0,0.0,0.0,0.0
11:19:29.0,0.0,0.0,0.0
11:19:30.0,0.0,0.0,0.0
11:19:31.0,14.539,0.011,14.343
