BM
Create,Read,Update,Delete
1517869,448634,4800954,8772609
1520639,548525,4803181,8980871
1518423,700288,4793112,8813284
1522809,551840,4742014,8953847
1529309,609951,4768222,8990696

Docker
Create,Read,Update,Delete
1516747,415002,5429316,9126882
1528112,501185,5370564,9869724
1523657,496568,5324925,9417250
1521509,541534,5225525,9799048
1518467,518551,5087471,9350130

LXC
Create,Read,Update,Delete
1517451,394889,4899609,8632956
1515316,483245,4919326,8798492
1513395,519483,5114071,8749523
1524014,529261,4632748,8851127
1514830,508216,4826629,8678897

Docker Isolated
Create,Read,Update,Delete
1531177,412230,5546031,9716849
1531053,413931,5234812,9869254
1517329,415075,5251378,9576036
1516633,430216,5464194,9488092
1526995,432062,5600236,8960089


1531177,9716849,382230,5546031
1531053,9869254,353931,5234812
1517329,9576036,405075,5251378
1516633,9488092,390216,5464194
1526995,8960089,402062,5600236
